"","Year","Lon_M","Lat_M","MUN","ANC","DC","SST","SALI","GSST","BAT","CHL"
"3739",2001,-80.42617,-8.780167,0,0,83.83528,18.18694,34.91538,0.1102796,-2376.972,0.586615019
"1104",2001,-74.8765,-16.57568,0,0,52.7368,16.54694,34.90741,0.1024117,-6717.05,0.251496759
"488",2001,-79.61913,-11.63812,0,0,117.1963,18.74229,35.167,0.1061513,-5180.88,0.226233962
"3149",2001,-75.04671,-16.32542,0,0,45.97959,16.85306,34.99158,0.1117388,-5691.577,0.330715505
"2940",2001,-78.5372,-11.22205,0,0,51.89314,17.07455,35.00664,0.5300743,-1588.121,1.234494561
"3617",2001,-75.25937,-16.6813,0,0,70.44506,16.84579,34.93228,0.1130644,-4282.497,0.246594407
"3926",2001,-77.27657,-14.29255,0,0,56.06268,16.69169,34.96263,0.05785511,-5342.237,2.268150824
"3719",2001,-75.30264,-16.74532,0,0,74.90039,16.94353,34.93736,0.1136479,-4612.188,0.235530617
"1918",2001,-80.32066,-6.689333,0,0,8.661691,16.82301,34.92938,0.1737899,-10.33928,1.286415327
"1118",2001,-82.80217,-7.000333,0,0,115.4464,19.0884,35.05341,0.07352693,-4274.903,0.321370135
"992",2001,-78.15775,-11.29763,0,0,29.4081,17.17742,35.0565,0.07261689,-410.1168,1.442426301
"1984",2001,-78.98417,-9.444333,0,0,27.3548,16.703,34.95259,0.02131203,-130,1.791930956
"1959",2001,-74.2968,-17.04483,0,0,59.03853,16.50806,34.90428,0.09076648,-6896.695,0.220301381
"1255",2001,-80.7614975,-8.40333366,0,23.017,87.33903592,18.32535781,34.91981438,0.220256461,-3238.63819,1.039898032
"3791",2001,-75.47632,-15.55318,0,0,19.60517,15.35908,34.91132,0.1090127,-1583.322,1.527961725
"2498",2001,-76.49088,-15.0083,0,0,39.54374,16.33285,34.97617,0.1747294,-4487.468,1.231653491
"502",2001,-76.64345,-15.67747,0,0,73.68532,17.49538,35.02199,0.03422236,-2992.58,0.292227755
"1666",2001,-78.21257,-13.65595,0,0,106.5639,16.80951,34.94312,0.06460077,-4691.899,0.386302883
"3598",2001,-73.0316,-17.02507,0,0,28.14561,17.08773,34.96471,0.1887023,-2288.298,0.511565998
"1841",2001,-81.00916,-7.959333,0,0,90.21342,18.33111,34.95081,0.1567952,-4082.987,1.105859382
"3572",2001,-80.34,-8.730333,0,0,77.99831,18.10872,34.9218,0.1316427,-1652.982,0.5387089
"2351",2001,-76.62601,-15.07835,0,0,48.40415,16.58551,34.99859,0.2388119,-4224.2,0.648576444
"2484",2001,-71.38776,-18.32895,0,0,32.34374,16.74536,34.95288,0.04713629,-1009.772,0.461754102
"3416",2001,-78.2888,-12.53487,0,0,71.09234,17.52596,35.08999,0.02578036,-3828.89,0.581709912
"1976",2001,-79.33916,-10.51933,0,0,72.48367,17.67707,34.97522,0.08755923,-2934.31,0.427158369
"3864",2001,-81.73317,-7.204167,0,0,77.26991,18.57651,34.99889,0.1435983,-5051.5,0.371281609
"1274",2001,-78.78322,-12.24227,0,0,87.2093,17.59064,35.07987,0.07397436,-5781.938,0.312121283
"1890",2001,-79.25983,-10.47533,0,0,67.19093,17.6556,34.97378,0.06069003,-2305.528,0.487058365
"1402",2001,-78.67725,-12.18077,0,0,80.09027,17.42021,35.05602,0.1306457,-3964.057,0.357385184
"2463",2001,-79.7015,-10.67717,0,0,95.81246,17.95254,35.01921,0.1227285,-5522.087,0.265989296
"2910",2001,-71.66039,-18.26457,0,0,37.0888,16.63482,34.9359,0.1418746,-1248.25,0.410735015
"2220",2001,-81.04183197,-8.26366711,0,24.25494393,99.22840711,18.85437346,34.99036698,0.084189984,-6268.903207,0.759556996
"3846",2001,-80.5145,-8.829667,0,0,89.74068,18.2291,34.91077,0.09330634,-2819.862,0.633032255
"2262",2001,-81.33833,-8.135167,0,0,112.2103,18.62279,35.00841,0.04639365,-5380.223,0.665789332
"1721",2001,-78.6186,-12.08312,0,0,73.67847,17.33798,35.03026,0.1892568,-3601.555,0.411465656
"896",2001,-72.05238,-17.85457,0,0,39.28343,16.23141,34.9258,0.1010462,-2196.022,0.637627183
"322",2001,-72.73685,-18.00358,0,0,69.25724,16.92766,34.96893,0.2984117,-5663.823,0.279667163
"3330",2001,-75.13035,-16.48513,0,0,56.7032,16.69784,34.94729,0.1157651,-5911.017,0.25393699
"919",2001,-73.71242,-18.04682,0,0,100.2592,17.73214,35.01939,0.04613285,-4177.923,0.380208758
"3868",2001,-80.20316315,-10.35583305,0,24.98528474,116.9311395,18.36566388,34.99186786,0.096369929,-5780.233095,0.530926228
"2356",2001,-76.02139,-16.50672,0,0,83.20716,17.2154,34.97774,0.01894416,-4158.47,0.180021227
"3908",2001,-80.22467,-10.32933,0,0,117.5352,18.3413,34.98942,0.1056822,-5601.626,0.525045616
"1469",2001,-73.72435,-17.62757,0,0,77.36122,17.94465,35.03221,0.03587724,-5649.896,0.369539472
"2171",2001,-78.91933,-9.397,0,0,22.58066,16.73346,34.95434,0.06106748,-127.7492,2.162832645
"1679",2001,-78.19666,-13.64613,0,0,105.7276,16.82135,34.94333,0.06392291,-4717.964,0.385623483
"2251",2001,-72.05755,-17.40543,0,0,18.76784,16.56504,34.92811,0.1666733,-806.753,0.918460536
"1690",2001,-79.2165,-9.577333,0,0,43.19318,17.14484,34.95888,0.2413518,-161.4801,0.845517511
"879",2001,-77.21394,-15.12462,0,0,78.10336,16.8572,34.99887,0.2393723,-3416.581,0.333824787
"332",2001,-81.6465,-7.449667,0,0,86.0546,18.66099,34.99801,0.0883263,-4983.295,0.508130965
"2489",2001,-79.26432,-12.19795,0,0,108.9546,17.80267,35.12006,0.03719892,-5059.885,0.268634904
"1683",2001,-78.56415,-12.08572,0,0,71.34152,17.15046,35.01013,0.2297945,-3172.194,0.453996287
"284",2001,-78.63887,-11.57702,0,0,60.19994,18.38135,35.15652,0.1794876,-2284.585,0.578508695
"3131",2001,-72.40504,-17.9404,0,0,56.38794,16.45089,34.94676,0.07978345,-3107.407,0.329743094
"1269",2001,-77.22472,-15.61158,0,0,95.11335,17.28874,35.01186,0.1049068,-2912.879,0.224338911
"2953",2001,-77.06288,-12.9644,0,0,28.04985,16.70529,34.92639,0.07715572,-477.0604,0.447062503
"2278",2001,-79.07561,-12.10797,0,0,96.66407,17.77893,35.11032,0.06908635,-5566.292,0.270398111
"2763",2001,-74.88068,-16.05523,0,0,27.20874,16.25286,34.96383,0.2812427,-2339.55,0.560832648
"1664",2001,-82.55383,-6.763,0,0,95.66198,18.83801,35.05354,0.07226547,-4273.061,0.41319573
"1339",2001,-74.84448,-16.50242,0,0,48.03394,16.47949,34.92032,0.05914298,-5877.897,0.263174387
"2957",2001,-79.447,-10.885,0,0,87.72829,18.40331,35.14982,0.084024,-4207.394,0.250641078
"1651",2001,-82.5685,-6.771167,0,0,96.66358,18.8522,35.05443,0.07424828,-4250.24,0.407306991
"2183",2001,-80.07983,-9.484834,0,0,88.88103,17.96797,34.94944,0.06095643,-2937.001,0.442379007
"452",2001,-72.86427,-18.00427,0,0,73.32061,17.35906,35.00767,0.1631963,-6830.83,0.261316117
"1179",2001,-74.05437,-16.6439,0,0,31.46947,16.01073,34.90127,0.1315343,-3615.6,0.354298534
"1863",2001,-81.29684,-8.417167,0,0,116.619,18.63059,35.00136,0.06823325,-5189.893,0.513705387
"1341",2001,-79.45433,-9.7095,0,0,59.30499,17.59849,34.94088,0.09713603,-289.9272,0.710840373
"2335",2001,-72.82498,-17.14277,0,0,30.25689,17.00755,34.96467,0.1367257,-1412.46,0.510824416
"296",2001,-75.2506,-17.17922,0,0,94.83587,17.32405,34.96287,0.07677001,-4485.174,0.262639383
"3715",2001,-80.26483,-9.0055,0,0,85.99432,17.94547,34.94157,0.2470607,-2017.267,0.755520816
"87",2001,-72.06171,-18.32565,0,0,53.72522,17.0315,34.97874,0.4916139,-3359.111,0.285259234
"3269",2001,-80.42533,-7.905,0,0,57.02084,17.21344,34.90971,0.2033692,-471.9357,1.981645234
"2456",2001,-74.36162,-17.70385,0,0,95.50729,17.9661,34.9947,0.07605469,-4495.153,0.32774982
"1204",2001,-73.4016,-18.09822,0,0,95.20496,17.69701,35.01777,0.02921157,-4606.59,0.42293557
"4017",2001,-73.18428,-17.28397,0,0,45.96044,17.16741,35.01358,0.1109844,-3863.214,0.524465227
"2479",2001,-78.1024,-14.7902,0,0,111.8202,16.47984,34.92107,0.08011068,-4082.306,0.438743779
"3849",2001,-71.93048,-18.17042,0,0,41.91052,16.56298,34.9281,0.0594281,-2217.564,0.422079945
"498",2001,-82.20116,-7.435333,0,0,104.6887,18.78173,35.016,0.02840791,-4362.043,0.437991273
"3424",2001,-80.2925,-7.83,0,0,47.93913,16.82933,34.93654,0.1381174,-285.9056,1.811107937
"3140",2001,-81.26366425,-7.73916674,0,23.84007632,90.37161081,18.47965776,34.97612264,0.140319428,-6098.353328,0.926126637
"3184",2001,-72.86729,-16.75583,0,0,9.473829,16.25298,34.85084,0.2665082,-198.3255,0.649772026
"3233",2001,-77.34897,-14.01298,0,0,55.67891,16.95399,34.96702,0.09645674,-4015.436,0.7168502
"2838",2001,-74.91618,-16.11478,0,0,31.31366,16.49795,34.98403,0.24594,-2990.185,0.477394603
"3806",2001,-74.90995,-17.09858,0,0,81.80273,17.14156,34.96128,0.1507509,-4670.994,0.336074137
